Unnamed: 0,composition,energy,material_id,prototype_id,location,elements,spg,nsites,stress,total_energy,total_mag,band_gap_ind,band_gap,dos_ef,energy_corrected,e_above_hull,e_form,e_phase_separation,decomposition,volume,lattice_params,lattice_matrix,source,Conditions,ultimate_tensile_strength_mpa,UTS (Ksi),yield_strength_mpa,YS (ksi),elongation_percent,Reduction (%),Hardness (HB),C (Min),carbon,Mn (Min),manganese,P (Min),P (Max),S (Min),S(Max),Si (Min),silicon,Ni (Min),nickel,Cr (Min),chromium,Mo (Min),molybdenum,Ti (Min),Ti (Max),N
700287.0,"{'Ac': 12.0, 'Bi': 1.0, 'Ru': 6.0}",-112.51395866,Ac12BiRu6,AB6C12_0_spg204,cgat_comp_2/ternaries/AB6C12/runs/batch-001/Ru/Ru6BiAc12/xxx_02a-00_agm006128076_spg204,"Ac,Bi,Ru",204.0,19.0,"[1.5398035, -7.8e-07, -6e-08, -7.8e-07, 1.5398033, -4.5e-07, -6e-08, -4.5e-07, 1.5398022]",-112.51395866,-1e-07,0.0,0.0,19.260368,-112.51396,0.076018415,-0.1935113,0.076018415, Ac3BiRu  Ac2Ru  Ru ,628.6306566700346,"[9.347006262193805, 9.347008294654756, 9.347002890000049, 109.47122226426698, 109.47121534541087, 109.47124133876333]","[8.8124423, -1.92e-06, -3.11566795, -4.40622307, 7.63179989, -3.11566891, 1e-08, -9.4e-07, 9.34700289]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700288.0,"{'N': 12.0, 'Br': 20.0, 'Ac': 48.0}",-354.19422415,Ac12Br5N3,A3B5C12_37_spg230,cgat_prot/A3B5C12_prot1_spg230/runs/batch-001/N/N3Br5Ac12/xxx_02p-00_agm001165140_spg230,"N,Br,Ac",230.0,80.0,"[0.11509449, 0.0, 0.0, 0.0, 0.11509449, 0.0, 0.0, 0.0, 0.11509449]",-354.19422415,0.002585,0.0,0.0,90.08145,-354.1942,0.7791585,-0.3512761,0.7791585, Ac3(BrN)2  Ac2Br3N  Ac ,3466.0463268047947,"[16.51272511, 16.5127251170615, 16.512725118237604, 109.4712206171755, 109.47122064892031, 109.4712206503631]","[16.51272511, -0.0, -0.0, -5.50424171, 15.56834654, 0.0, -5.50424171, -7.78417327, 13.4825836]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700289.0,"{'N': 12.0, 'C': 20.0, 'Ac': 48.0}",-465.9184754,Ac12C5N3,A3B5C12_37_spg230,cgat_prot/A3B5C12_prot1_spg230/runs/batch-001/C/C5N3Ac12/xxx_02p-00_agm001167328_spg230,"N,C,Ac",230.0,80.0,"[0.2542836, 0.0, 0.0, 0.0, 0.2542836, 0.0, 0.0, 0.0, 0.2542836]",-465.9184754,0.0006777,0.0,0.0,54.719902,-465.9185,0.5525544,0.13992214,0.5525544, AcC2  Ac  AcN ,2169.117140466327,"[14.12434441, 14.124344412502605, 14.124344410926726, 109.47122065468204, 109.4712206188196, 109.47122061655946]","[14.12434441, 0.0, 0.0, -4.7081148, 13.31655962, -0.0, -4.7081148, -6.65827981, 11.53247892]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700290.0,"{'Se': 12.0, 'C': 20.0, 'Ac': 48.0}",-446.18287749,Ac12C5Se3,A3B5C12_37_spg230,cgat_prot/A3B5C12_prot1_spg230/runs/batch-002/C/C5Se3Ac12/xxx_02p-00_agm001253889_spg230,"Se,C,Ac",230.0,80.0,"[0.04596981, 0.0, 0.0, 0.0, 0.04596981, 0.0, 0.0, 0.0, 0.04596981]",-446.18287749,-8e-05,0.0,0.0,61.70957,-446.1829,0.33491516,-0.28357396,0.33491516, Ac2C2Se  Ac  AcSe ,2526.766714790648,"[14.86148974, 14.861489740537799, 14.861489739135791, 109.47122065076537, 109.47122062203805, 109.47122062012704]","[14.86148974, 0.0, 0.0, -4.95382991, 14.0115469, -0.0, -4.95382991, -7.00577345, 12.13435556]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700291.0,"{'Ac': 12.0, 'Cd': 2.0, 'Co': 5.0}",-86.45685907,Ac12Cd2Co5,A2B5C12_263_spg12,cgat_comp_2/ternaries/A2B5C12/runs/batch-001/Co/Co5Cd2Ac12/xxx_02a-00_agm005652168_spg12,"Ac,Cd,Co",12.0,19.0,"[1.1773648, 0.01154972, -0.01683132, 0.01154977, 1.1732625, -0.04501281, -0.01683141, -0.04501282, 1.2385175]",-86.45685907,2e-06,0.0,0.0,16.823544,-86.456856,0.10435156,0.010734484,0.10435156, AcCd  AcCo  Ac ,652.923308563335,"[10.265514760273511, 7.966002873873483, 9.329130434398625, 64.72633129877802, 73.025374954676, 90.00000179583118]","[9.96593945, 0.03962552, 2.46155926, -0.88166069, 7.12347737, 3.4548439, 0.50460384, -0.00140699, 9.31547356]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700292.0,"{'Ac': 12.0, 'Cd': 2.0, 'Ge': 5.0}",-79.94431092,Ac12Cd2Ge5,A2B5C12_37_spg12,cgat_comp/ternaries/A2B5C12/runs/batch-000/Ge/Ge5Cd2Ac12/xxx_02p-00_agm003368199_spg12,"Ac,Cd,Ge",12.0,19.0,"[1.1224856, 0.0, 0.0, 0.0, 1.1070147, -0.00320142, 0.0, -0.00320146, 1.1316051]",-79.94431092,0.0025283,0.0,0.0272,20.972889,-79.94431,0.19666849,-0.30137056,0.19666849, AcCd  Ac4Ge3  Ac ,728.2260116662104,"[8.01973826, 9.959252251664868, 10.180658137301275, 100.91142196888156, 90.0, 113.74254113067315]","[8.01973826, 0.0, 0.0, -4.00986913, 9.10337145, 0.48608972, 0.0, -2.63340402, 9.83417426]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700293.0,"{'Ac': 12.0, 'Cd': 2.0, 'In': 5.0}",-67.69743428,Ac12Cd2In5,A2B5C12_33_spg12,cgat_comp/ternaries/A2B5C12/runs/batch-000/Cd/Cd2In5Ac12/xxx_02p-00_agm003369578_spg12,"Ac,Cd,In",12.0,19.0,"[1.4369434, 0.0, 0.0, 0.0, 1.4566122, -0.00321403, 0.0, -0.00321418, 1.3611275]",-67.69743428,4.9e-06,0.0,0.0,18.140156,-67.69743,0.1450288,-0.15125135,0.1450288, Ac5In3  AcCd  Ac ,739.4795297760984,"[7.87886439, 10.364854030721782, 9.827625955653524, 85.35627663612087, 90.0, 112.3383899293494]","[7.87886439, 0.0, 0.0, -3.93943219, 9.40629935, 1.85272924, 0.0, -1.04795934, 9.77159215]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700294.0,"{'Ac': 12.0, 'Cd': 2.0, 'Pb': 5.0}",-73.60838998,Ac12Cd2Pb5,A2B5C12_37_spg12,cgat_comp/ternaries/A2B5C12/runs/batch-000/Cd/Cd2Pb5Ac12/xxx_02p-00_agm003369589_spg12,"Ac,Cd,Pb",12.0,19.0,"[1.6250737, 0.0, 0.0, 0.0, 1.6527276, 0.00365082, 0.0, 0.00365074, 1.6773756]",-73.60838998,0.0005947,0.0,0.0139,22.851313,-73.60839,0.198072,-0.20711799,0.198072, Ac5Pb3  AcCd  Ac ,819.1169414508015,"[8.33222224, 10.323080613524967, 10.555471917411738, 98.75774002775873, 90.0, 113.80170152614923]","[8.33222224, 0.0, 0.0, -4.16611112, 9.41888601, 0.70292092, 0.0, -2.52627533, 10.24870335]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700295.0,"{'Ac': 12.0, 'Cd': 2.0, 'Ru': 5.0}",-99.37581073,Ac12Cd2Ru5,A2B5C12_263_spg12,cgat_comp_2/ternaries/A2B5C12/runs/batch-001/Ru/Ru5Cd2Ac12/xxx_02a-00_agm005652125_spg12,"Ac,Cd,Ru",12.0,19.0,"[1.3004401, 0.00627554, -0.01214008, 0.00627558, 1.3169872, -0.03897388, -0.01214016, -0.03897389, 1.3745695]",-99.37581073,-9e-07,0.0,0.0254,14.956056,-99.37581,0.11654385,-0.098165154,0.11654385, Ac5CdRu2  Ac2Ru ,687.8211206606663,"[10.539547423002585, 8.193583121168189, 9.367860873473187, 64.06673020863307, 72.96253472686901, 89.99999836685406]","[10.23497772, 0.04701985, 2.51497119, -0.90684861, 7.32698752, 3.55354525, 0.52784116, 0.11084666, 9.35232132]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700296.0,"{'Ac': 12.0, 'Cd': 2.0, 'Sn': 5.0}",-76.75350438,Ac12Cd2Sn5,A2B5C12_37_spg12,cgat_comp/ternaries/A2B5C12/runs/batch-000/Cd/Cd2Sn5Ac12/xxx_02p-00_agm003369399_spg12,"Ac,Cd,Sn",12.0,19.0,"[1.1510205, 0.0, 0.0, 0.0, 1.1058928, 0.02201199, 0.0, 0.02201228, 1.1798319]",-76.75350438,0.0018333,0.0,0.033,22.583185,-76.7535,0.19757138,-0.29514974,0.19757138, Ac5Sn3  AcCd  Ac ,800.5216379029132,"[8.24364921, 10.244966388699757, 10.511758341163532, 99.10647727113613, 90.0, 113.72371920106058]","[8.24364921, -0.0, -0.0, -4.12182461, 9.35579486, 0.6625713, -0.0, -2.54411328, 10.19924267]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
